model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C,hotel,train,attraction,restaurant
gemma_2b,1,gemma_2b-1-0,0.828,0.906,0.905,0.85,0.723,0.789,0.901,0.787,0.81,0.451,0.289,0.26,0.272,0.305,0.159,0.265
gemma_2b,2,gemma_2b-2-0,0.68,0.83,0.767,0.806,0.47,0.659,0.781,0.636,0.598,0.403,0.385,0.212,0.247,0.34,0.125,0.287
gemma_2b,3,gemma_2b-3-0,0.622,0.795,0.719,0.723,0.429,0.572,0.712,0.645,0.553,0.432,0.354,0.214,0.249,0.34,0.107,0.304
gemma_2b,4,gemma_2b-4-0,0.624,0.795,0.709,0.694,0.455,0.607,0.712,0.6,0.543,0.397,0.371,0.232,0.264,0.343,0.102,0.291
gemma_2b,5,gemma_2b-5-0,0.614,0.79,0.72,0.704,0.405,0.554,0.706,0.594,0.553,0.395,0.395,0.21,0.242,0.37,0.098,0.291
gemma_2b,5,gemma_2b-5-1,0.53,0.742,0.771,0.59,0.216,0.512,0.626,0.452,0.455,0.515,0.36,0.125,0.242,0.358,0.122,0.277
gemma_2b,5,gemma_2b-5-2,0.536,0.747,0.413,0.892,0.259,0.533,0.642,0.449,0.482,0.232,0.626,0.143,0.282,0.276,0.123,0.318
gemma_2b,5,gemma_2b-5-3,0.519,0.74,0.389,0.623,0.534,0.48,0.619,0.463,0.458,0.214,0.411,0.374,0.261,0.341,0.065,0.333
gemma_2b,5,gemma_2b-5-4,0.57,0.764,0.419,0.717,0.558,0.561,0.66,0.523,0.485,0.215,0.421,0.364,0.263,0.36,0.063,0.314
gemma_7b,1,gemma_7b-1-0,0.854,0.922,0.997,0.869,0.682,0.897,0.918,0.769,0.801,0.496,0.281,0.223,0.208,0.332,0.202,0.259
gemma_7b,2,gemma_7b-2-0,0.617,0.786,0.843,0.595,0.424,0.622,0.701,0.545,0.549,0.504,0.291,0.205,0.159,0.376,0.196,0.269
gemma_7b,3,gemma_7b-3-0,0.601,0.777,0.838,0.557,0.411,0.6,0.684,0.523,0.554,0.531,0.272,0.198,0.131,0.366,0.21,0.294
gemma_7b,4,gemma_7b-4-0,0.597,0.776,0.75,0.579,0.455,0.689,0.645,0.548,0.531,0.465,0.312,0.223,0.115,0.385,0.204,0.296
gemma_7b,5,gemma_7b-5-0,0.579,0.769,0.744,0.544,0.451,0.61,0.661,0.534,0.502,0.469,0.31,0.22,0.102,0.372,0.212,0.313
gemma_7b,5,gemma_7b-5-1,0.551,0.749,0.708,0.606,0.329,0.606,0.642,0.495,0.474,0.454,0.374,0.172,0.101,0.352,0.215,0.332
gemma_7b,5,gemma_7b-5-2,0.53,0.736,0.729,0.566,0.287,0.623,0.647,0.476,0.453,0.495,0.354,0.151,0.111,0.27,0.241,0.379
gemma_7b,5,gemma_7b-5-3,0.593,0.775,0.828,0.536,0.418,0.684,0.699,0.555,0.508,0.512,0.291,0.197,0.111,0.283,0.238,0.369
gemma_7b,5,gemma_7b-5-4,0.701,0.838,0.973,0.625,0.512,0.721,0.782,0.662,0.625,0.562,0.258,0.18,0.167,0.33,0.224,0.279
