model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
llama2_13b,1,llama2_13b-1-0,0.453,0.686,0.315,0.477,0.58,0.02,0.572,0.91,0.326,0.196,0.345,0.459
llama2_13b,2,llama2_13b-2-0,0.373,0.636,0.486,0.353,0.287,0.378,0.032,0.52,0.81,0.423,0.328,0.249
llama2_13b,2,llama2_13b-2-0,0.457,0.693,0.266,0.45,0.645,0.017,0.578,0.85,0.371,0.189,0.329,0.482
llama2_13b,3,llama2_13b-3-0,0.375,0.644,0.528,0.354,0.246,0.333,0.049,0.548,0.729,0.462,0.308,0.23
llama2_13b,3,llama2_13b-3-0,0.435,0.681,0.307,0.446,0.549,0.0,0.524,0.868,0.317,0.209,0.336,0.456
llama2_13b,4,llama2_13b-4-0,0.363,0.638,0.547,0.339,0.197,0.335,0.053,0.571,0.668,0.493,0.327,0.18
llama2_13b,4,llama2_13b-4-0,0.423,0.671,0.297,0.426,0.551,0.004,0.528,0.894,0.29,0.218,0.347,0.435
llama2_13b,5,llama2_13b-5-0,0.375,0.64,0.563,0.337,0.229,0.345,0.061,0.629,0.644,0.476,0.325,0.199
llama2_13b,5,llama2_13b-5-0,0.4,0.661,0.256,0.407,0.537,0.0,0.427,0.887,0.302,0.186,0.366,0.448
llama2_13b,5,llama2_13b-5-1,0.385,0.656,0.437,0.464,0.244,0.347,0.03,0.569,0.75,0.372,0.406,0.221
llama2_13b,5,llama2_13b-5-1,0.397,0.66,0.256,0.41,0.524,0.02,0.389,0.904,0.335,0.19,0.367,0.443
llama2_13b,5,llama2_13b-5-2,0.365,0.638,0.464,0.415,0.207,0.335,0.034,0.519,0.743,0.403,0.39,0.207
llama2_13b,5,llama2_13b-5-2,0.364,0.636,0.214,0.391,0.485,0.004,0.332,0.883,0.378,0.15,0.389,0.461
llama2_13b,5,llama2_13b-5-3,0.41,0.67,0.467,0.536,0.21,0.463,0.067,0.527,0.747,0.374,0.437,0.188
llama2_13b,5,llama2_13b-5-3,0.413,0.668,0.19,0.447,0.601,0.004,0.434,0.824,0.444,0.132,0.38,0.488
llama2_13b,5,llama2_13b-5-4,0.451,0.69,0.572,0.512,0.259,0.506,0.087,0.624,0.787,0.418,0.412,0.17
llama2_13b,5,llama2_13b-5-4,0.392,0.656,0.202,0.412,0.561,0.008,0.376,0.866,0.436,0.15,0.378,0.471
llama2_7b,1,llama2_7b-1-0,0.51,0.721,0.938,0.107,0.435,0.45,0.478,0.341,0.778,0.711,0.066,0.223
llama2_7b,1,llama2_7b-1-0,0.391,0.655,0.777,0.168,0.185,0.466,0.513,0.517,0.013,0.777,0.114,0.109
llama2_7b,2,llama2_7b-2-0,0.43,0.679,0.87,0.06,0.384,0.412,0.435,0.24,0.611,0.683,0.045,0.273
llama2_7b,2,llama2_7b-2-0,0.377,0.647,0.819,0.177,0.16,0.441,0.495,0.475,0.023,0.792,0.097,0.111
llama2_7b,3,llama2_7b-3-0,0.452,0.695,0.855,0.086,0.406,0.364,0.533,0.205,0.642,0.677,0.044,0.279
llama2_7b,3,llama2_7b-3-0,0.396,0.654,0.768,0.22,0.197,0.462,0.576,0.461,0.013,0.751,0.114,0.135
llama2_7b,4,llama2_7b-4-0,0.438,0.685,0.826,0.049,0.471,0.354,0.525,0.24,0.604,0.658,0.032,0.31
llama2_7b,4,llama2_7b-4-0,0.429,0.681,0.798,0.222,0.265,0.451,0.585,0.493,0.05,0.698,0.123,0.179
llama2_7b,5,llama2_7b-5-0,0.434,0.681,0.834,0.054,0.457,0.395,0.504,0.222,0.573,0.653,0.032,0.315
llama2_7b,5,llama2_7b-5-0,0.421,0.67,0.759,0.251,0.271,0.483,0.622,0.466,0.0,0.671,0.141,0.188
llama2_7b,5,llama2_7b-5-1,0.44,0.682,0.822,0.04,0.506,0.435,0.529,0.174,0.568,0.635,0.02,0.344
llama2_7b,5,llama2_7b-5-1,0.42,0.668,0.741,0.286,0.247,0.5,0.666,0.394,0.017,0.671,0.164,0.165
llama2_7b,5,llama2_7b-5-2,0.427,0.677,0.792,0.049,0.485,0.392,0.483,0.233,0.568,0.605,0.041,0.354
llama2_7b,5,llama2_7b-5-2,0.408,0.664,0.726,0.232,0.287,0.511,0.56,0.471,0.0,0.662,0.129,0.209
llama2_7b,5,llama2_7b-5-3,0.444,0.69,0.783,0.067,0.527,0.326,0.542,0.254,0.585,0.587,0.047,0.367
llama2_7b,5,llama2_7b-5-3,0.415,0.663,0.756,0.197,0.317,0.459,0.615,0.517,0.0,0.679,0.116,0.205
llama2_7b,5,llama2_7b-5-4,0.485,0.712,0.813,0.073,0.619,0.414,0.536,0.223,0.724,0.567,0.048,0.384
llama2_7b,5,llama2_7b-5-4,0.406,0.661,0.753,0.189,0.302,0.536,0.534,0.475,0.0,0.673,0.117,0.21
